Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
JE Root,11,19,0,966,190,50.84,1563,61.8,2,8,0,138,1
AN Cook,11,20,1,899,244*,47.31,1831,49.09,2,2,0,110,0
JM Bairstow,11,19,0,652,119,34.31,1093,59.65,1,3,0,88,3
BA Stokes,7,12,0,527,112,43.91,829,63.57,2,4,1,75,6
DJ Malan,9,15,0,505,140,33.66,1179,42.83,1,4,0,71,1
MM Ali,11,19,1,497,87,27.61,811,61.28,0,3,2,62,5
MD Stoneman,7,12,1,328,56,29.81,737,44.5,0,3,0,42,0
SCJ Broad,11,17,2,230,57*,15.33,304,75.65,0,2,4,27,6
JM Vince,4,7,0,199,83,28.42,420,47.38,0,2,0,32,0
CR Woakes,5,9,1,198,61*,24.75,394,50.25,0,1,1,26,0
T Westley,5,9,1,193,59,24.12,453,42.6,0,1,0,33,0
KK Jennings,4,8,0,127,48,15.87,327,38.83,0,0,2,21,0
GS Ballance,2,4,0,85,34,21.25,171,49.7,0,0,0,12,0
TS Roland-Jones,4,6,2,82,25,20.5,118,69.49,0,0,0,10,3
C Overton,2,4,1,62,41*,20.66,141,43.97,0,0,0,8,0
MA Wood,2,4,0,34,28,8.5,58,58.62,0,0,2,5,0
JM Anderson,11,16,11,33,12,6.6,103,32.03,0,0,3,4,1
LA Dawson,2,4,1,18,13,6.0,42,42.85,0,0,2,2,0
JT Ball,1,2,0,15,14,7.5,16,93.75,0,0,0,3,0
TK Curran,1,1,0,4,4,4.0,15,26.66,0,0,0,1,0
