Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
JE Root,7,11,3,777,200*,97.12,1339,58.02,3,3,0,80,1
GS Ballance,8,13,1,729,156,60.75,1433,50.87,3,3,1,101,2
IR Bell,8,13,0,452,167,34.76,735,61.49,1,3,0,56,6
AN Cook,8,13,1,390,95,32.5,897,43.47,0,3,0,45,0
SD Robson,7,11,0,336,127,30.54,755,44.5,1,1,0,42,1
MM Ali,7,10,1,286,108*,31.77,754,37.93,1,0,0,41,1
SCJ Broad,8,11,2,255,47,28.33,229,111.35,0,0,1,36,8
JC Buttler,3,3,0,200,85,66.66,286,69.93,0,2,0,28,3
MJ Prior,4,7,1,179,86,29.83,306,58.49,0,1,0,19,1
JM Anderson,8,10,2,129,81,16.12,282,45.74,0,1,2,23,0
CJ Jordan,5,6,0,125,35,20.83,216,57.87,0,0,0,17,0
LE Plunkett,4,7,3,112,55*,28.0,191,58.63,0,1,1,15,0
BA Stokes,3,5,0,79,47,15.8,133,59.39,0,0,3,7,2
MA Carberry,1,2,0,43,43,21.5,72,59.72,0,0,1,8,0
CR Woakes,3,3,2,33,26*,33.0,54,61.11,0,0,1,3,0
JM Bairstow,1,2,0,18,18,9.0,53,33.96,0,0,1,1,0
WB Rankin,1,2,0,13,13,6.5,24,54.16,0,0,1,2,0
KP Pietersen,1,2,0,9,6,4.5,19,47.36,0,0,0,0,0
SG Borthwick,1,2,0,5,4,2.5,19,26.31,0,0,0,1,0
