Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
AN Cook,15,29,3,1249,190,48.03,2981,41.89,4,3,2,138,5
KP Pietersen,14,25,1,1053,186,43.87,1617,65.12,3,4,2,133,17
IJL Trott,15,28,2,1005,143,38.65,2301,43.67,2,6,2,124,0
MJ Prior,15,22,2,777,91,38.85,1476,52.64,0,6,0,87,1
AJ Strauss,11,21,0,697,141,33.19,1613,43.21,2,2,2,82,0
IR Bell,14,25,5,672,116*,33.60,1692,39.71,1,6,2,74,3
GP Swann,14,20,4,376,56,23.50,548,68.61,0,1,1,54,7
SCJ Broad,11,18,2,277,58*,17.31,403,68.73,0,1,2,27,4
NRD Compton,4,8,2,208,57,34.66,613,33.93,0,1,0,18,2
JM Bairstow,5,7,1,196,95,32.66,350,56.00,0,2,0,29,0
JM Anderson,14,22,5,137,23*,8.05,278,49.28,0,0,1,15,1
TT Bresnan,8,9,2,120,39*,17.14,369,32.52,0,0,2,11,0
SR Patel,5,7,0,109,33,15.57,257,42.41,0,0,1,10,1
JE Root,1,2,1,93,73,93.00,285,32.63,0,1,0,5,1
EJG Morgan,3,6,0,82,31,13.66,172,47.67,0,0,1,7,2
JWA Taylor,2,3,0,48,34,16.00,152,31.57,0,0,0,6,0
MS Panesar,6,9,3,26,13,4.33,38,68.42,0,0,3,3,0
RS Bopara,1,2,0,22,22,11.00,61,36.06,0,0,1,3,0
ST Finn,5,6,4,16,10,8.00,72,22.22,0,0,1,2,0
CT Tremlett,1,2,0,1,1,0.50,19,5.26,0,0,1,0,0
G Onions,1,-,-,-,-,-,-,-,-,-,-,-,-
