Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
JE Root,8,14,2,787,153*,65.58,1031,76.33,2,5,0,68,15
HC Brook,8,14,1,701,186,53.92,766,91.51,1,6,1,86,11
BM Duckett,8,15,1,654,182,46.71,760,86.05,1,3,0,78,2
Z Crawley,8,15,1,606,189,43.28,685,88.46,1,3,0,78,3
BA Stokes,8,13,0,515,155,39.61,831,61.97,1,2,0,48,17
OJ Pope,5,9,0,410,205,45.55,485,84.53,1,0,0,45,6
JM Bairstow,6,9,1,322,99*,40.25,418,77.03,0,3,0,43,4
MM Ali,4,7,0,180,54,25.71,276,65.21,0,1,0,20,4
OE Robinson,5,9,3,133,39,22.16,200,66.50,0,0,0,16,0
BT Foakes,2,4,0,124,51,31.00,198,62.62,0,1,1,14,0
SCJ Broad,8,12,2,112,16,11.20,190,58.94,0,0,0,11,1
MA Wood,3,5,1,83,28,20.75,64,129.68,0,0,0,9,4
CR Woakes,3,5,1,79,36,19.75,99,79.79,0,0,1,8,2
JM Anderson,6,8,4,38,12,9.50,96,39.58,0,0,0,6,0
MJ Leach,3,4,2,20,12,10.00,81,24.69,0,0,0,2,0
JC Tongue,2,2,0,20,19,10.00,30,66.66,0,0,0,1,0
MJ Potts,1,-,-,-,-,-,-,-,-,-,-,-,-
