Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
JE Root,17,32,2,1477,254,49.23,2433,60.7,3,10,1,170,1
JM Bairstow,17,29,4,1470,167*,58.8,2525,58.21,3,8,1,145,8
AN Cook,17,33,3,1270,130,42.33,2447,51.9,2,7,0,151,1
MM Ali,17,29,6,1078,155*,46.86,2004,53.79,4,5,3,116,11
BA Stokes,12,21,1,904,258,45.2,1354,66.76,2,3,1,110,21
AD Hales,10,19,0,537,94,28.26,1201,44.71,0,5,0,76,2
CR Woakes,12,21,5,493,66,30.81,1108,44.49,0,2,1,59,1
GS Ballance,6,11,0,219,70,19.9,507,43.19,0,1,0,30,0
H Hameed,3,6,1,219,82,43.8,640,34.21,0,2,0,23,2
JM Vince,7,11,0,212,42,19.27,406,52.21,0,0,2,36,0
AU Rashid,7,13,2,192,60,17.45,502,38.24,0,1,2,24,0
KK Jennings,2,4,0,167,112,41.75,358,46.64,1,1,1,20,0
NRD Compton,6,11,1,162,45,16.2,417,38.84,0,0,2,22,1
JC Buttler,3,6,2,154,76,38.5,319,48.27,0,1,0,12,2
SCJ Broad,14,18,1,145,19,8.52,341,42.52,0,0,1,13,0
BM Duckett,4,7,0,110,56,15.71,190,57.89,0,1,1,13,2
ST Finn,9,12,3,89,17,9.88,252,35.31,0,0,3,12,0
JWA Taylor,3,6,1,74,27,14.8,197,37.56,0,0,1,8,1
JM Anderson,12,15,7,66,17,8.25,99,66.66,0,0,3,9,0
LA Dawson,1,2,1,66,66*,66.0,155,42.58,0,1,1,5,1
JT Ball,3,6,0,52,31,8.66,109,47.7,0,0,1,5,1
ZS Ansari,3,5,0,49,32,9.8,136,36.02,0,0,2,5,0
GJ Batty,2,4,1,5,3,1.66,47,10.63,0,0,1,0,0
