Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
BA Stokes,7,12,1,641,176,58.27,1031,62.17,2,2,1,69,11
DP Sibley,9,14,1,615,133*,47.3,1623,37.89,2,2,2,70,1
Z Crawley,7,11,0,580,267,52.72,1020,56.86,1,3,1,75,1
JC Buttler,9,14,1,497,152,38.23,930,53.44,1,2,1,52,8
OJ Pope,9,14,3,481,135*,43.72,843,57.05,1,4,0,60,1
JE Root,8,13,2,464,68*,42.18,822,56.44,0,4,0,49,2
RJ Burns,6,9,0,254,90,28.22,583,43.56,0,2,1,27,0
SCJ Broad,8,9,4,177,62,35.4,158,112.02,0,1,0,18,8
JL Denly,4,7,0,176,38,25.14,519,33.91,0,0,0,23,0
CR Woakes,6,7,1,176,84*,29.33,279,63.08,0,1,2,22,0
SM Curran,5,6,0,118,44,19.66,147,80.27,0,0,1,17,2
DM Bess,8,10,5,112,31*,22.4,214,52.33,0,0,2,10,2
MA Wood,3,5,1,102,42,25.5,99,103.03,0,0,0,7,8
JC Archer,4,4,0,42,23,10.5,80,52.5,0,0,1,5,0
JM Anderson,6,5,1,36,11,9.0,72,50.0,0,0,0,4,0
