Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
JE Root,15,27,3,1098,176,45.75,1722,63.76,5,2,3,122,3
JM Bairstow,10,19,3,1061,162,66.31,1396,76.0,6,1,2,128,18
BA Stokes,15,26,2,870,120,36.25,1216,71.54,2,4,1,94,26
Z Crawley,15,29,1,844,122,30.14,1329,63.5,2,3,3,132,0
OJ Pope,11,20,1,713,145,37.52,997,71.51,2,5,1,83,3
HC Brook,4,6,0,480,153,80.00,521,92.13,3,1,0,55,12
AZ Lees,10,19,0,453,67,23.84,1052,43.06,0,2,0,58,1
BT Foakes,10,16,4,400,113*,33.33,815,49.07,1,2,2,42,0
BM Duckett,3,6,1,357,107,71.40,373,95.71,1,3,1,43,2
DW Lawrence,3,6,0,197,91,32.83,301,65.44,0,1,1,21,4
CR Woakes,4,8,2,181,41,30.16,319,56.73,0,0,0,17,2
SCJ Broad,9,12,2,162,42,16.20,201,80.59,0,0,1,20,4
MA Wood,5,8,1,144,39,20.57,169,85.2,0,0,1,19,3
MJ Leach,14,17,7,138,41*,13.80,367,37.6,0,0,3,19,0
J Overton,1,1,0,97,97,97.00,136,71.32,0,1,0,13,2
OE Robinson,6,8,1,94,37,13.42,116,81.03,0,0,1,11,1
WG Jacks,2,4,0,89,31,22.25,90,98.88,0,0,0,6,5
SW Billings,3,3,0,66,36,22.00,114,57.89,0,0,0,10,0
S Mahmood,2,2,1,52,49,52.00,124,41.93,0,0,0,4,1
JM Anderson,9,11,5,44,9,7.33,80,55.0,0,0,1,7,0
DJ Malan,2,4,0,42,25,10.50,152,27.63,0,0,0,7,0
MJ Potts,5,6,2,30,19,7.50,64,46.87,0,0,1,3,1
RJ Burns,1,2,0,26,26,13.00,52,50.0,0,0,1,4,0
LS Livingstone,1,2,1,16,9,16.00,18,88.88,0,0,0,0,1
H Hameed,1,2,0,15,9,7.50,84,17.85,0,0,0,1,0
C Overton,2,3,0,15,14,5.00,28,53.57,0,0,1,1,0
Rehan Ahmed,1,2,0,11,10,5.50,11,100.0,0,0,0,2,0
JC Buttler,1,2,0,11,11,5.50,46,23.91,0,0,1,0,0
MW Parkinson,1,1,0,8,8,8.00,8,100.0,0,0,0,1,0
MD Fisher,1,1,1,0,0*,-,5,0.0,0,0,0,0,0
