Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
JE Root,10,18,2,805,150,50.31,1395,57.7,4,1,2,82,1
HC Brook,10,18,1,771,158,45.35,934,82.54,2,4,2,82,14
BM Duckett,10,18,0,735,149,40.83,833,88.23,2,3,2,100,6
Z Crawley,10,18,0,670,124,37.22,1033,64.85,1,5,3,89,2
OJ Pope,9,16,0,602,171,37.62,878,68.56,2,1,2,76,2
JL Smith,10,18,4,577,184*,41.21,722,79.91,1,3,1,66,14
BA Stokes,9,16,0,496,141,31,1081,45.88,1,2,1,50,3
BA Carse,8,14,1,246,56,18.92,346,71.09,0,1,3,24,7
WG Jacks,3,5,0,118,47,23.6,299,39.46,0,0,0,9,0
JC Archer,5,9,4,113,51,22.6,207,54.58,0,1,0,11,3
AAP Atkinson,5,7,0,101,37,14.42,130,77.69,0,0,0,8,4
CR Woakes,5,7,1,64,38,10.66,155,41.29,0,0,1,6,2
JG Bethell,2,4,0,52,40,13,96,54.16,0,0,0,7,0
LA Dawson,1,1,0,26,26,26,65,40,0,0,0,3,0
JC Tongue,6,8,3,22,11,4.4,92,23.91,0,0,2,2,0
Shoaib Bashir,4,5,3,16,12*,8,37,43.24,0,0,1,1,1
J Overton,1,2,0,9,9,4.5,21,42.85,0,0,1,2,0
MA Wood,1,2,1,4,4*,4,2,200,0,0,1,1,0
SJ Cook,1,-,-,-,-,-,-,-,-,-,-,-,-
