Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
JE Root,15,29,1,1708,228,61.0,3004,56.85,6,4,1,179,3
RJ Burns,10,19,0,530,132,27.89,1282,41.34,1,3,6,65,2
JM Bairstow,9,17,1,391,57,24.43,807,48.45,0,1,4,47,2
OJ Pope,9,18,1,368,81,21.64,766,48.04,0,1,0,35,1
DP Sibley,10,20,2,356,87,19.77,1175,30.29,0,3,4,33,0
DW Lawrence,8,15,2,354,81*,27.23,722,49.03,0,3,4,40,2
JC Buttler,9,16,2,353,55,25.21,825,42.78,0,1,2,45,1
DJ Malan,5,9,0,308,82,34.22,708,43.5,0,3,1,42,0
BA Stokes,7,14,0,304,82,21.71,724,41.98,0,2,0,34,7
H Hameed,6,11,0,205,68,18.63,647,31.68,0,2,4,26,0
Z Crawley,8,16,0,173,53,10.81,403,42.92,0,1,2,23,0
CR Woakes,3,6,0,173,50,28.83,315,54.92,0,1,0,30,0
MM Ali,4,7,0,132,43,18.85,255,51.76,0,0,1,18,5
OE Robinson,8,14,1,125,42,9.61,320,39.06,0,0,5,14,0
MA Wood,7,11,1,98,41,9.8,206,47.57,0,0,2,14,1
DM Bess,4,6,0,96,34,16.0,281,34.16,0,0,1,13,0
SM Curran,5,7,1,87,32,14.5,158,55.06,0,0,3,10,2
BT Foakes,3,6,1,78,42*,15.6,260,30.0,0,0,0,5,0
MJ Leach,8,14,4,68,14*,6.8,260,26.15,0,0,2,7,2
SCJ Broad,7,12,4,53,11*,6.62,144,36.8,0,0,3,5,2
C Overton,2,3,0,43,32,14.33,83,51.8,0,0,0,7,0
JM Anderson,12,21,11,41,10*,4.1,160,25.62,0,0,4,5,0
OP Stone,2,4,0,36,20,9.0,115,31.3,0,0,1,4,0
JC Archer,2,4,0,16,11,4.0,31,51.61,0,0,2,2,0
JR Bracey,2,3,0,8,8,2.66,27,29.62,0,0,2,1,0
