Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
JE Root,17,31,3,1556,262,55.57,2455,63.38,6,5,1,147,2
BM Duckett,17,32,1,1149,153,37.06,1320,87.04,2,6,2,153,7
HC Brook,12,20,0,1100,317,55.0,1294,85.0,4,3,1,105,14
OJ Pope,17,30,0,994,196,33.13,1443,68.88,3,4,3,120,5
Z Crawley,14,25,0,695,79,27.8,968,71.79,0,6,3,99,7
JL Smith,9,15,0,637,111,42.46,881,72.3,1,4,0,63,15
BA Stokes,13,23,2,602,80,28.66,916,65.72,0,5,1,62,9
AAP Atkinson,11,16,1,352,118,23.46,445,79.1,1,0,1,39,9
JG Bethell,3,6,1,260,96,52.0,346,75.14,0,3,0,38,5
JM Bairstow,5,10,0,238,39,23.8,290,82.06,0,0,1,28,6
CR Woakes,9,13,2,216,62,19.63,382,56.54,0,1,1,25,0
BT Foakes,5,10,0,205,47,20.5,521,39.34,0,0,0,18,2
TW Hartley,5,10,0,185,36,18.5,284,65.14,0,0,0,23,6
DW Lawrence,3,6,0,120,35,20.0,183,65.57,0,0,0,11,2
BA Carse,5,7,2,94,33*,18.8,119,78.99,0,0,0,5,8
Rehan Ahmed,4,8,0,92,28,11.5,171,53.8,0,0,1,12,0
MA Wood,6,10,2,83,33,10.37,110,75.45,0,0,5,12,2
Shoaib Bashir,15,23,12,76,13,6.9,207,36.71,0,0,5,11,0
OE Robinson,1,2,0,58,58,29.0,99,58.58,0,1,1,9,1
MJ Potts,4,7,1,56,21,9.33,104,53.84,0,0,1,9,0
MJ Leach,4,6,3,52,25*,17.33,72,72.22,0,0,0,4,0
OP Stone,2,4,1,47,15*,15.66,90,52.22,0,0,0,4,1
JM Anderson,5,9,4,13,6,2.6,54,24.07,0,0,3,2,0
J Hull,1,2,1,9,7*,9.0,16,56.25,0,0,0,0,1
