Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
JE Root,14,26,3,1385,182*,60.21,2174,63.7,3,10,1,158,10
AN Cook,14,26,1,1364,263,54.56,3123,43.67,3,8,1,150,0
BA Stokes,14,25,0,719,101,28.76,1061,67.76,1,5,4,104,8
IR Bell,13,24,2,571,143,25.95,1302,43.85,1,4,3,74,3
MM Ali,13,23,0,563,77,24.47,1040,54.13,0,4,3,83,4
GS Ballance,7,14,1,465,122,35.76,1065,43.66,1,3,2,52,6
JC Buttler,12,21,3,430,73,23.88,807,53.28,0,3,2,56,6
JM Bairstow,7,12,0,372,79,31.0,673,55.27,0,2,1,48,5
SCJ Broad,14,23,5,353,46,19.61,508,69.48,0,0,5,41,5
A Lyth,7,13,0,265,107,20.38,529,50.09,1,0,1,40,1
JWA Taylor,2,4,0,190,76,47.5,404,47.02,0,2,0,18,1
MA Wood,8,14,5,185,32*,20.55,338,54.73,0,0,0,30,1
NRD Compton,1,2,0,134,85,67.0,352,38.06,0,1,0,13,0
AU Rashid,3,5,0,103,61,20.6,334,30.83,0,1,1,9,0
JM Anderson,11,18,6,78,20,6.5,181,43.09,0,0,3,13,0
IJL Trott,3,6,0,72,59,12.0,189,38.09,0,1,3,8,0
CJ Jordan,3,5,1,55,21*,13.75,104,52.88,0,0,0,7,1
SR Patel,1,2,0,42,42,21.0,81,51.85,0,0,1,6,0
AD Hales,1,2,0,36,26,18.0,106,33.96,0,0,0,1,1
CR Woakes,1,2,0,23,23,11.5,39,58.97,0,0,1,3,0
ST Finn,4,6,5,21,12,21.0,66,31.81,0,0,0,2,0
JC Tredwell,1,1,0,8,8,8.0,24,33.33,0,0,0,0,0
