Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
IR Bell,14,27,3,1005,113,41.87,2358,42.62,3,5,1,130,6
AN Cook,14,27,0,916,130,33.92,2153,42.54,2,6,2,106,0
JE Root,14,27,2,862,180,34.48,2121,40.64,2,3,1,94,2
IJL Trott,11,21,0,793,121,37.76,1588,49.93,1,5,2,104,0
KP Pietersen,11,21,0,758,113,36.09,1465,51.74,1,6,1,86,8
MJ Prior,13,24,5,594,110*,31.26,1058,56.14,1,3,5,97,2
JM Bairstow,8,15,1,379,67,27.07,823,46.05,0,2,0,43,5
SCJ Broad,14,22,2,326,65,16.30,559,58.31,0,1,4,48,3
NRD Compton,5,9,0,271,117,30.11,768,35.28,2,0,1,31,0
MA Carberry,4,8,0,238,60,29.75,623,38.2,0,1,1,37,1
BA Stokes,3,6,0,200,120,33.33,432,46.29,1,0,0,28,2
GP Swann,10,16,4,194,34,16.16,264,73.48,0,0,2,29,2
TT Bresnan,5,9,1,137,45,17.12,411,33.33,0,0,1,17,0
ST Finn,6,10,1,118,56,13.11,383,30.8,0,1,3,14,0
JM Anderson,14,22,8,111,23,7.92,227,48.89,0,0,6,17,0
CR Woakes,1,2,1,42,25,42.00,83,50.6,0,0,0,6,0
CT Tremlett,1,2,0,15,8,7.50,68,22.05,0,0,0,2,0
MS Panesar,5,8,3,7,2*,1.40,76,9.21,0,0,3,0,0
SC Kerrigan,1,1,1,1,1*,-,12,8.33,0,0,0,0,0
