Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
JE Root,13,24,1,948,125,41.21,1782,53.19,2,6,2,92,3
JC Buttler,10,18,1,760,106,44.7,1116,68.1,1,6,2,84,7
JM Bairstow,11,20,0,609,110,30.45,1138,53.51,2,2,5,75,2
BA Stokes,10,20,0,537,66,26.85,1165,46.09,0,4,2,57,7
AN Cook,10,18,0,516,147,28.66,1171,44.06,1,2,1,65,0
KK Jennings,9,16,1,425,146*,28.33,893,47.59,1,0,1,41,0
SM Curran,7,12,1,404,78,36.72,698,57.87,0,3,2,38,14
BT Foakes,3,6,2,277,107,69.25,492,56.3,1,1,0,21,5
MM Ali,7,14,0,268,50,19.14,631,42.47,0,1,2,25,3
AU Rashid,8,13,3,232,35,23.2,410,56.58,0,0,0,26,4
CR Woakes,4,6,1,223,137*,44.6,343,65.01,1,1,0,35,0
DJ Malan,6,11,0,219,62,19.9,583,37.56,0,2,1,26,0
MD Stoneman,4,8,0,198,60,24.75,451,43.9,0,2,1,24,1
RJ Burns,3,6,0,155,59,25.83,285,54.38,0,1,0,17,0
SCJ Broad,11,18,1,143,38,8.41,258,55.42,0,0,6,12,2
JM Vince,2,4,0,137,76,34.25,274,50.0,0,1,0,18,0
DM Bess,2,3,0,111,57,37.0,215,51.62,0,1,0,16,0
MA Wood,2,4,0,72,52,18.0,93,77.41,0,1,0,11,1
TK Curran,1,2,1,62,39,62.0,105,59.04,0,0,0,11,0
MJ Leach,4,7,1,55,16,9.16,149,36.91,0,0,1,6,0
OJ Pope,2,3,0,54,28,18.0,99,54.54,0,0,0,7,0
JM Anderson,12,18,12,43,12,7.16,146,29.45,0,0,0,6,0
C Overton,1,2,1,36,33*,36.0,43,83.72,0,0,0,5,1
MS Crane,1,2,0,6,4,3.0,11,54.54,0,0,0,0,0
